"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"UNGRADED",1.188,0.312,0.562,0.438,0.312,3.5,1.87,1.25,1.413,1.315,1.25,1.897,3.5,0.505,"Visual",3.554,16,0.941
"UNGRAMMATICAL",2.941,0.176,0.118,0.235,0.118,3.118,2.249,0.728,0.485,0.664,0.485,1.9,3.118,0.447,"Visual",3.821,17,0.81
"UNGRAMMATICALLY",2.556,0,0.222,0.667,0,2.611,2.255,0,0.732,1.188,0,1.944,2.611,0.431,"Visual",3.265,18,0.947
"UNGRASPABLE",0.833,0.056,2.389,1.333,0.056,2.111,1.724,0.236,2.279,1.609,0.236,1.811,2.389,0.344,"Haptic",2.962,18,0.857
"UNGRATEFUL",1.889,0,0.222,2.389,0.111,2.333,2.246,0,0.732,1.72,0.471,2.058,2.389,0.344,"Interoceptive",3.21,18,1
"UNGRATEFULLY",3,0,0.059,1.588,0.176,2.471,2.092,0,0.243,1.97,0.728,1.875,3,0.411,"Auditory",3.585,17,1
"UNGRATEFULNESS",3.222,0,0.222,1.889,0,3.333,1.768,0,0.732,1.967,0,1.372,3.333,0.385,"Visual",4.259,18,1
"UNGRATIFIED",1.529,0.176,0.412,2,0.176,1.941,1.625,0.728,0.87,1.936,0.728,1.983,2,0.292,"Interoceptive",2.667,17,0.85
"UNGREASED",0.632,0.211,3.316,0.105,0.579,2.421,1.383,0.713,1.6,0.459,1.121,1.835,3.316,0.442,"Haptic",3.711,19,1
"UNGROUNDED",0.947,0.158,1.158,1.789,0.263,2.158,1.508,0.501,1.537,1.903,0.733,1.979,2.158,0.309,"Visual",2.631,19,0.95
"UNGROUPED",0.6,0.133,0.6,0.067,0.2,3.133,0.828,0.516,0.828,0.258,0.775,1.767,3.133,0.648,"Visual",3.148,15,0.938
"UNGRUDGING",1.867,0.4,0.533,1.333,0.333,1.867,2.066,1.298,1.457,1.877,1.291,1.959,1.867,0.242,"Auditory",2.5,15,0.882
"UNGUARANTEED",1.324,0.059,0.059,0.676,0,1.529,1.753,0.343,0.343,1.408,0,1.926,1.529,0.419,"Visual",1.838,34,0.971
"UNGUARDED",0.889,0,0.556,0.556,0,3.333,1.568,0,1.097,1.097,0,1.782,3.333,0.625,"Visual",3.364,18,1
"UNGUARDEDLY",0.688,0.25,0.5,1.5,0.312,1,1.537,0.577,1.033,1.966,0.793,1.414,1.5,0.294,"Interoceptive",1.695,16,0.842
"UNGUIDED",1.375,0.562,0.938,1.688,0.375,3,1.628,1.209,1.611,1.991,0.885,1.789,3,0.331,"Visual",3.285,16,0.889
"UNHALLOWED",0.417,0.333,0.25,0.5,0,1.167,0.793,1.155,0.866,1.168,0,1.528,1.167,0.438,"Visual",1.225,12,0.667
"UNHAMPERED",0.5,0.071,1.143,1.571,0,2.214,0.855,0.267,1.703,1.697,0,1.672,2.214,0.403,"Visual",2.538,14,0.875
"UNHAND",0.368,0.053,2.421,0.895,0.053,2.842,0.895,0.229,2.036,1.487,0.229,1.979,2.842,0.421,"Visual",3.359,19,1
"UNHANDLED",0.722,0.167,1.111,0.722,0,2.389,1.565,0.707,1.183,1.227,0,2.146,2.389,0.467,"Visual",2.507,18,0.947
"UNHANDSOMELY",0.667,0,0.267,0,0.067,3.867,1.175,0,1.033,0,0.258,1.598,3.867,0.795,"Visual",3.874,15,0.882
"UNHANDY",0.889,0.444,0.778,0.722,0.222,3,1.641,1.294,1.309,1.227,0.943,1.91,3,0.459,"Visual",3.06,18,0.947
"UNHAPPILY",1.684,0.316,0.789,3.632,0.316,2.368,1.6,0.946,1.619,1.862,0.82,1.606,3.632,0.364,"Interoceptive",4.052,19,1
"UNHAPPINESS",2.526,0.211,0.421,4.211,0.158,3.105,1.806,0.713,0.902,1.357,0.501,1.595,4.211,0.381,"Interoceptive",4.943,19,1
"UNHAPPY",1.235,0.059,0.059,3.471,0,2,1.251,0.243,0.243,1.94,0,1.5,3.471,0.509,"Interoceptive",3.725,17,1
"UNHARDENED",0.75,0.312,3.062,0.875,0.062,2.75,1,0.793,1.769,1.408,0.25,1.653,3.062,0.384,"Haptic",3.7,16,1
"UNHARMED",1.526,0.053,1.895,2,0.053,3.895,1.896,0.229,2.183,2.285,0.229,1.449,3.895,0.408,"Visual",4.262,19,1
"UNHARMONIOUS",2.824,0.059,0.294,0.941,0.118,1.824,1.776,0.243,0.588,1.6,0.332,1.551,2.824,0.456,"Auditory",3.088,17,0.895
"UNHARNESSED",0.812,0,1.875,0.688,0,2.625,1.377,0,1.628,1.195,0,2.062,2.625,0.438,"Visual",2.945,16,0.889
