Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
UNDERWATER,1.444,0.278,3.222,1.444,0.222,3.611,1.756,0.826,1.957,1.822,0.732,1.501,3.611,0.332,Visual,4.424,18,1.0
PHONEBOOK,0.556,0.278,3.222,0.444,0.5,4.111,1.338,1.179,1.957,1.338,1.249,1.41,4.111,0.421,Visual,4.693,18,1.0
HAMMOCK,0.611,0.056,3.222,1.167,0.056,3.722,1.195,0.236,1.517,1.383,0.236,1.742,3.722,0.415,Visual,4.428,18,1.0
FIRMLY,0.222,0.0,3.222,0.722,0.0,1.611,0.428,0.0,1.865,1.447,0.0,1.539,3.222,0.558,Haptic,3.363,18,1.0
BANJO,4.556,0.0,3.222,0.167,0.0,3.389,1.338,0.0,1.734,0.514,0.0,1.883,4.556,0.402,Auditory,5.506,18,1.0
ROUNDNESS,0.444,0.167,3.222,0.444,0.0,4.278,1.042,0.707,1.734,0.922,0.0,1.447,4.278,0.5,Visual,4.819,18,1.0
TAMPON,0.5,0.167,3.222,1.944,0.556,3.556,0.985,0.707,1.896,1.83,0.922,1.886,3.556,0.341,Visual,4.415,18,1.0
LIFE JACKET,0.389,0.0,3.222,0.444,0.222,4.056,0.916,0.0,1.7,1.042,0.428,1.305,4.056,0.487,Visual,4.646,18,1.0
UNCRUSHABLE,1.217,0.0,3.217,1.043,0.0,3.783,1.622,0.0,1.858,1.846,0.0,1.413,3.783,0.408,Visual,4.487,23,1.0
TABLETOP,0.435,0.0,3.217,0.13,0.087,4.565,1.121,0.0,1.976,0.626,0.288,1.037,4.565,0.541,Visual,5.047,23,1.0
WARTY,0.0,0.0,3.214,0.929,0.0,4.071,0.0,0.0,1.929,1.639,0.0,1.542,4.071,0.496,Visual,4.665,14,0.875
MOCCASIN,0.714,0.071,3.214,0.714,1.214,4.143,0.994,0.267,1.888,1.204,1.477,1.61,4.143,0.404,Visual,4.745,14,0.875
SATINWOOD,0.286,0.0,3.214,0.071,1.857,4.143,0.825,0.0,1.762,0.267,2.033,1.512,4.143,0.433,Visual,4.802,14,0.778
RETYING,0.071,0.071,3.214,0.143,0.071,3.0,0.267,0.267,2.082,0.363,0.267,2.32,3.214,0.478,Haptic,3.919,14,0.7
RAINDROP,3.424,1.03,3.212,0.364,1.273,4.152,1.437,1.794,1.799,1.141,1.719,1.326,4.152,0.282,Visual,5.29,33,1.0
ROOM TEMPERATURE,0.061,0.212,3.212,3.242,0.03,0.545,0.242,0.893,1.933,1.855,0.174,0.905,3.242,0.44,Interoceptive,4.07,33,0.971
WAND,0.474,0.158,3.211,0.526,0.263,4.053,1.02,0.688,1.903,1.219,0.933,1.545,4.053,0.448,Visual,4.64,19,1.0
TAP,2.947,0.158,3.211,1.368,0.0,2.684,2.041,0.688,1.932,1.832,0.0,1.827,3.211,0.31,Haptic,4.32,19,1.0
SHANK,0.842,0.316,3.211,1.105,0.211,3.474,1.302,0.82,2.299,1.823,0.535,1.926,3.474,0.356,Visual,4.254,19,0.95
FRIZZ,0.474,0.316,3.211,0.579,0.526,4.263,1.429,1.157,2.043,1.427,1.577,1.24,4.263,0.421,Visual,4.807,19,0.95
BELLY,1.158,0.421,3.211,1.211,0.105,4.105,1.642,1.017,1.548,1.813,0.315,1.449,4.105,0.392,Visual,4.728,19,1.0
JEAN,0.158,0.0,3.211,0.211,0.316,3.632,0.375,0.0,1.903,0.535,0.671,1.707,3.632,0.483,Visual,4.327,19,0.95
