Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
LUMP,0.111,0.167,3.889,1.556,0.0,3.889,0.471,0.514,1.451,1.504,0.0,1.132,3.889,0.405,Haptic,4.951,18,1.0
STRETCHY,0.278,0.111,3.889,0.389,0.056,3.333,0.575,0.471,1.183,0.916,0.236,1.534,3.889,0.476,Haptic,4.578,18,0.947
CHOPSTICK,1.0,0.556,3.889,0.556,0.389,3.722,1.414,0.922,1.568,1.199,1.037,1.274,3.889,0.346,Haptic,4.817,18,1.0
LUMPY,0.0,0.611,3.889,0.5,0.0,3.5,0.0,1.195,1.231,1.043,0.0,1.79,3.889,0.458,Haptic,4.673,18,1.0
MUSLIN,0.833,0.333,3.889,0.278,0.667,3.611,1.383,1.188,1.278,0.958,1.188,1.539,3.889,0.376,Haptic,4.745,18,0.514
SCARF,0.116,0.07,3.884,0.488,0.326,3.488,0.544,0.338,1.651,1.183,0.68,1.844,3.884,0.456,Haptic,4.66,43,1.0
SNOWBALL,0.765,0.647,3.882,0.529,0.118,4.412,1.437,1.057,1.409,1.231,0.332,1.176,4.412,0.415,Visual,5.257,17,1.0
HEADSCARF,0.059,0.0,3.882,0.412,0.235,4.294,0.243,0.0,1.495,1.278,0.562,0.92,4.294,0.483,Visual,5.165,17,1.0
PINCH,0.471,0.353,3.882,2.588,0.176,2.588,1.281,0.702,1.691,2.152,0.529,1.77,3.882,0.368,Haptic,4.536,17,1.0
PIMPLE,0.176,0.0,3.882,0.706,0.0,4.412,0.529,0.0,1.495,1.49,0.0,1.176,4.412,0.481,Visual,5.25,17,1.0
GRASPABLE,0.176,0.118,3.882,0.294,0.118,1.941,0.529,0.485,1.495,0.772,0.485,1.919,3.882,0.577,Haptic,4.039,17,0.895
FIREWOOD,1.529,0.176,3.882,0.588,2.765,4.765,2.125,0.728,1.799,1.228,2.278,0.664,4.765,0.335,Visual,5.765,17,1.0
CHOPPING,2.824,0.059,3.882,0.588,0.529,4.118,1.741,0.243,1.054,1.326,0.943,1.054,4.118,0.338,Visual,5.327,17,1.0
CLAMMY,0.0,0.471,3.882,1.529,0.353,2.059,0.0,1.179,1.691,1.772,0.786,1.676,3.882,0.468,Haptic,4.14,17,0.944
MOISTNESS,0.529,2.118,3.882,1.118,0.824,2.471,1.281,1.728,1.691,1.616,1.59,1.419,3.882,0.306,Haptic,4.4,17,1.0
JACKET,0.941,0.0,3.882,0.941,0.176,4.118,1.519,0.0,1.576,1.56,0.393,0.993,4.118,0.409,Visual,5.066,17,1.0
FLIMSILY,1.529,0.706,3.882,1.529,0.529,3.235,1.841,1.404,1.269,1.908,1.179,1.786,3.882,0.294,Haptic,4.642,17,1.0
SHOELACE,0.235,0.059,3.882,0.059,0.118,4.529,0.664,0.243,1.409,0.243,0.485,0.8,4.529,0.503,Visual,5.33,17,1.0
WIPE,0.824,0.059,3.882,0.588,0.353,3.176,1.334,0.243,1.219,1.228,0.996,1.59,3.882,0.43,Haptic,4.504,17,1.0
SNUGGLE,0.294,0.0,3.882,1.235,0.118,1.824,0.686,0.0,1.799,1.821,0.332,1.59,3.882,0.528,Haptic,4.051,17,1.0
GROPING,0.588,0.059,3.882,2.588,0.059,3.412,0.795,0.243,1.728,1.839,0.243,2.002,3.882,0.361,Haptic,4.874,17,0.944
CLOTHESLINE,0.412,0.059,3.882,0.882,0.412,3.765,0.87,0.243,1.764,1.691,1.064,1.678,3.882,0.406,Haptic,4.83,17,0.944
GROPE,0.588,0.059,3.882,1.353,0.059,2.882,1.278,0.243,1.833,2.029,0.243,1.833,3.882,0.433,Haptic,4.399,17,1.0
NECKBAND,0.118,0.0,3.882,0.941,0.0,2.824,0.332,0.0,1.166,1.784,0.0,2.069,3.882,0.5,Haptic,4.342,17,0.895
SQUISHIER,1.812,0.688,3.875,0.938,0.438,2.25,1.905,1.014,1.857,1.769,1.094,1.915,3.875,0.344,Haptic,4.25,16,0.941
UNDERWEAR,0.188,0.0,3.875,0.312,1.25,4.562,0.403,0.0,1.5,0.602,1.39,0.814,4.562,0.448,Visual,5.373,16,1.0
SHARPER,0.812,0.188,3.875,0.188,0.125,2.75,1.223,0.403,1.36,0.75,0.342,1.528,3.875,0.472,Haptic,4.3,16,1.0
VACUUM CLEANER,4.438,0.0,3.875,0.375,0.688,4.125,1.031,0.0,1.455,1.025,1.401,1.147,4.438,0.329,Auditory,6.001,16,1.0
BUTTON,0.375,0.0,3.875,0.0,0.0,3.75,1.025,0.0,1.544,0.0,0.0,1.612,3.875,0.484,Haptic,4.806,16,1.0
STICKY,0.312,0.375,3.875,0.188,0.0,2.0,0.793,0.885,1.586,0.75,0.0,1.549,3.875,0.574,Haptic,4.047,16,1.0
RAINFALL,3.938,0.875,3.875,0.75,2.312,4.625,1.34,1.31,1.544,1.571,1.778,0.719,4.625,0.237,Visual,6.141,16,1.0
FLUFF,0.419,0.097,3.871,0.258,0.0,3.065,1.089,0.396,1.455,1.032,0.0,1.879,3.871,0.502,Haptic,4.429,31,0.969
GROCERY BAG,1.522,0.0,3.87,0.043,0.13,4.478,1.534,0.0,1.254,0.209,0.458,0.846,4.478,0.446,Visual,5.328,23,1.0
RIDGED,1.133,0.8,3.867,1.0,0.533,3.733,1.642,1.521,1.506,1.558,1.457,1.58,3.867,0.301,Haptic,4.834,15,0.882
CONTACT,2.0,0.2,3.867,1.933,0.4,2.667,1.813,0.561,1.685,2.154,0.632,1.759,3.867,0.331,Haptic,4.516,15,1.0
SCAR,0.279,0.233,3.86,1.349,0.209,3.907,0.959,0.895,1.338,1.811,0.804,1.493,3.907,0.376,Visual,4.928,43,1.0
ELBOW,0.25,0.143,3.857,1.0,0.286,3.821,0.645,0.591,1.557,1.656,0.713,1.467,3.857,0.397,Haptic,4.852,28,1.0
WORKTOP,1.143,0.286,3.857,0.429,0.643,4.214,1.562,0.825,1.46,0.938,1.499,0.975,4.214,0.372,Visual,5.118,14,0.824
